Scan REF,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr
Reporter REF,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2
CAGL0A01199g,-0.597862548,0.127539299,0.183832889,-0.01599605,0.428277787,0.646282881,1.549888886,1.198071093,0.050565871,0.261198368,0.189306282,0.23136501,0.299689491,0.586671298,0.088608188,-0.217822771,0.709471922,0.15373741
CAGL0A01221g,-1.038684997,0.016535049,0.14971431,0.51104559,0.006273162,0.025389936,-0.517820574,0.322572892,0.50144634,0.335036308,0.361839236,0.238405514,-0.495104825,0.25907089,0.222486942,-0.422748094,0.374312151,0.375376375
CAGL0A01243g,1.622766827,0.135690594,0.20543958,-0.295354251,0.435749671,0.244466791,0.99054282,0.487054797,0.985186813,0.140609435,null,null,0.274761312,0.607499583,1.52593338,null,null,null
CAGL0A01364g,-0.320344198,0.3675991,0.428650994,0.095411503,0.148065116,0.063243924,0.101150131,0.323063467,0.615631182,-0.257697635,0.706671927,0.640138088,-0.038901347,0.163913598,1.649801107,null,null,null
CAGL0A01386g,-0.095857525,0.226305045,0.305044617,0.524230828,0.153823398,0.12563558,null,null,null,0.054908341,null,null,null,null,null,-0.317687544,null,null
CAGL0A01430g,0.874024415,0.354842837,0.409765181,-0.557332408,0.743393425,0.039913779,-0.090636652,1.160382779,0.117684414,-0.526490928,0.188908137,0.035115965,-1.156475489,0.47050399,0.152169972,0.261030708,1.432263251,0.427551366
CAGL0A01452g,-0.52182565,0.557604706,0.389538534,0.479649693,0.056931888,0.06491332,null,null,null,-0.392780361,null,null,0.801921036,null,null,null,null,null
CAGL0A01474g,-0.356798176,0.253305962,0.285844538,0.301032194,0.16122785,0.130285895,0.222252194,0.378130374,0.844114247,0.195944886,null,null,0.544358132,0.981822803,0.597858737,-0.360582233,1.131232733,1.69096704
CAGL0A01540g,-1.140151493,0.266693322,0.145919706,-0.100978036,0.099543839,0.563562112,-0.666067139,1.11637397,0.116433594,0.27150069,0.636585439,0.519123282,-1.247668552,0.844501249,0.13862765,0.051071215,0.456884985,0.949611342
CAGL0A01562g,-0.542456435,0.242160566,0.095150439,-0.071317523,0.26055708,0.780854793,-0.405431362,1.248721523,0.119768868,0.368320482,0.524857722,0.329773965,-1.085026521,0.999163721,0.187647211,0.242117785,0.440111569,0.955834373
CAGL0A01606g,null,null,null,null,null,null,null,null,null,0.017000353,null,null,null,null,null,null,null,null
CAGL0A01628g,-0.315030838,0.078744745,0.108353314,-0.012623899,0.028667113,0.011394353,-0.031429011,0.585419058,1.234522123,0.087759946,0.064743977,0.123094417,-0.193349125,0.62444973,0.619815124,-0.229236609,0.723695082,1.238846319
