Scan REF,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Msn2_overexpression_1;Msn2_overexpression_2,Msn2_overexpression_1;Msn2_overexpression_2,Msn2_overexpression_1;Msn2_overexpression_2
Reporter REF,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2
CAGL0A00957g,null,null,null,2.487128734,0.226376476,0.352379838,null,null,null,-0.460647194,0.417695301,0.316754569,0.659945694,0.892348686,0.596762053,1.301577087,0.321574674,0.298640797,-0.0143,0.245704502,0.123550861
CAGL0A01001g,null,null,null,-0.599936208,0.319660904,0.490850541,null,null,null,2.110111536,0.49014537,0.29972194,2.16440661,0.588016784,0.289841102,null,null,null,-0.381282349,0.641569868,0.392348526
CAGL0A01023g,-0.573004848,0.863094845,1.426607678,0.87061097,0.294599763,0.458272014,-1.19495469,0.858494628,0.536591043,1.2848379,3.241452577,2.01015096,1.330115939,0.235413505,0.0612,1.452269197,null,null,-0.655107274,0.408403748,0.315121748
CAGL0A01045g,-0.147969913,0.761384711,0.122700486,1.613885921,0.53268844,1.488623513,-0.819205059,0.443990248,0.323273268,-0.503760964,0.489572371,0.455308645,0.67298314,0.33518365,0.313488871,-0.872345491,0.338381228,0.959085699,-0.118160726,0.0593,0.000767
CAGL0A01067g,-0.608857131,0.171520295,0.0927,-2.386973202,null,null,-1.327720244,0.0894,0.0794,-1.278632755,0.413496119,0.247085838,1.761684739,null,null,null,null,null,-0.350824574,0.101774163,0.108211886
CAGL0A01089g,0.421736373,2.103145257,3.21187774,0.961805473,0.964760581,0.175282105,null,null,null,0.261414343,0.000743,0.359462573,1.993382281,0.260074497,0.131159888,0.564760877,0.842081238,1.116251159,null,null,null
CAGL0A01133g,0.751168554,null,null,1.818534492,0.162241569,0.253194882,0.471191364,0.104701845,0.0887,0.960161543,0.0816,0.337887186,null,null,null,null,null,null,-0.00806,0.142661492,0.0548
CAGL0A01155g,null,null,null,-0.551909488,0.478360391,0.746377965,null,null,null,null,null,null,null,null,null,0.530969301,0.34745252,0.0716,-0.411912636,0.0961,0.104425374
CAGL0A01199g,-0.217822771,0.709471922,0.15373741,0.270376315,1.204899279,0.200567135,0.286522421,0.986031451,0.598367469,-0.679734283,0.630037554,0.956859703,1.186194875,0.092,0.148394088,0.133820295,0.351817503,0.969138615,-0.063,1.149457323,1.253196219
CAGL0A01221g,-0.422748094,0.374312151,0.375376375,0.670398349,0.725869741,0.418779055,-1.207181133,0.125204282,0.107092573,-1.965848843,1.160344564,1.131357425,0.62625792,0.200510914,0.306115773,-1.820266362,0.197427109,0.797631662,-0.426829439,0.265462525,0.298454768
CAGL0A01243g,null,null,null,2.261757934,0.224670785,0.349737906,4.167311071,0.522999416,0.422473274,0.181816898,null,null,2.256812665,0.469454206,0.311355798,1.714626922,0.283175058,0.036280977,null,null,null
CAGL0A01386g,-0.317687544,null,null,-0.7599057,0.19004889,0.289770905,null,null,null,0.258210399,0.663572593,0.489404411,null,null,null,null,null,null,0.434577686,null,null
CAGL0A01430g,0.261030708,1.432263251,0.427551366,-0.327692085,0.325901442,0.739179166,-0.542419654,0.451327025,0.195932589,-0.250387415,0.385638994,0.378668678,0.0591,0.282914431,0.212407458,-0.281403551,0.481848573,0.29926138,0.0364,0.512570588,0.254153681
CAGL0A01452g,null,null,null,-1.122525082,null,null,null,null,null,0.0532,0.253895883,0.138519886,null,null,null,0.527415559,0.961919454,0.417439971,-0.409938552,0.40782606,0.314726716
CAGL0A01474g,-0.360582233,1.131232733,1.69096704,-0.887408952,0.0999,0.156965049,null,null,null,-0.475461751,0.858602518,0.545059716,-0.408252895,null,null,0.0852,0.604419226,0.462494953,0.378566011,0.638530134,0.474831499
CAGL0A01540g,0.0511,0.456884985,0.949611342,-2.555339365,0.925982477,2.07293846,-3.205495177,1.009365883,0.747326913,-1.630010364,0.736997483,0.740720252,-2.546547307,0.307400553,0.239011644,-1.567912247,0.838601451,1.538021086,0.041,0.0716,0.109326173
CAGL0A01562g,0.242117785,0.440111569,0.955834373,-0.570722614,0.181956801,0.277264045,-1.663030893,0.784953901,0.563953424,-2.382680542,0.112414436,0.043008995,-1.912837411,0.867620485,0.692793129,-2.181742996,1.085613699,2.313357704,0.0515,0.058445533,0.00136
CAGL0A01606g,null,null,null,2.328121174,0.123090327,0.192776523,null,null,null,1.691553298,0.455659408,0.275992056,1.126437464,null,null,null,null,null,null,null,null
CAGL0A01628g,-0.229236609,0.723695082,1.238846319,-1.618576307,0.386377666,1.281601444,-0.424575723,0.161889359,0.0719,-0.319658352,0.334002638,0.553343017,-0.559322587,0.30573657,0.00508,-0.323163225,0.623204394,1.033818505,-0.019946501,0.586063994,0.582082881
CAGL0A01672g,0.162522054,0.208187841,0.333576088,-0.016,0.0527,0.0844,1.388004827,null,null,1.547061624,0.0354,0.0566,null,null,null,1.549656602,0.173552345,0.807914365,-0.283592322,0.19978847,0.173862599
CAGL0A01716g,1.386419446,null,null,1.463241801,0.9151862,1.459978677,1.319825019,0.254341298,0.0822,1.824158362,0.147682511,0.132370967,0.194884814,null,null,-0.398564292,0.629911235,0.268191864,0.301563644,0.487133977,0.28628978
CAGL0A01738g,-0.0141,1.377142312,0.495349921,-0.16132346,0.159072147,0.248300647,-0.171947143,0.372072562,0.199200043,1.26132248,0.100992342,0.100812592,0.512045685,0.277537104,0.145233916,1.086208565,0.171053104,0.759030751,0.138674204,0.147243648,0.0578
CAGL0A01760g,null,null,null,0.688846262,0.197661489,0.307934768,null,null,null,0.719673572,0.029,0.013191765,-0.15125528,null,null,0.56308267,0.0256,0.133266125,0.366687656,null,null
CAGL0A01782g,-0.719312601,0.515029293,0.239112653,0.242680843,0.37788426,1.229291681,-2.261229702,1.118861782,0.718015554,-0.838165166,0.468361356,0.511054875,-0.312180542,0.541213948,0.504381575,0.063961999,0.404855775,0.501355761,-0.6352256,0.25903892,0.279612347
CAGL0A01804g,-1.634198247,0.320589961,0.402217188,-1.724244605,0.90776295,1.737655773,-0.252861884,0.338652821,0.149658535,-0.982722538,1.372534763,2.030739271,-2.799946671,0.254344988,0.307854794,-1.019436959,0.176084511,0.803149348,-1.276579994,1.081413329,1.13790637
CAGL0A01848g,0.300540602,0.467417852,0.282167638,0.848870698,0.411229063,0.644625805,0.340718754,0.288788818,0.174628627,0.260524505,0.122556995,0.109168474,0.928782204,0.38307786,0.380142634,0.336992071,0.541713344,0.171295718,-0.133513279,0.237687583,0.199346965
CAGL0A01870g,null,null,null,1.100612868,0.140908998,0.220264231,null,null,null,0.711770161,0.365470442,0.214288354,1.600517315,null,null,null,null,null,-0.0893,null,null
CAGL0A01892g,null,null,null,2.766853126,0.110722512,0.173706268,null,null,null,0.294284368,0.26140319,0.209559193,-1.480669288,null,null,2.109530257,0.0192,0.129755455,null,null,null
CAGL0A01914g,-0.504006338,0.340672494,0.419070315,-1.819757033,0.265206497,1.095476561,0.0343,0.139977369,0.108189275,-1.132633467,0.373948727,0.454055509,-1.423679631,0.0423,0.143230139,-0.906215546,0.160813676,0.680084688,-0.49383874,0.273712027,0.293475154
CAGL0A01958g,-0.118815358,0.460351087,0.475928413,0.87986545,0.177682369,0.277047588,null,null,null,0.977929862,0.0373,0.0579,0.0997,null,null,null,null,null,-0.652275709,0.258504699,0.213373649
CAGL0A02002g,null,null,null,-0.0284,0.0153,0.0267,null,null,null,-0.57216285,0.172490081,0.0835,null,null,null,null,null,null,null,null,null
CAGL0A02024g,null,null,null,1.514678545,0.0093,0.0111,null,null,null,1.727944699,0.268125191,0.148155002,null,null,null,null,null,null,null,null,null
CAGL0A02046g,0.222038143,1.484923189,1.623516694,0.390003586,0.239601467,0.372872429,0.156932966,0.107974167,0.17187502,1.051383581,0.227055998,0.120363713,null,null,null,1.544378227,0.376261549,0.513274603,-0.556151886,0.044,0.069659155
CAGL0A02090g,-0.362382976,0.250205639,0.417660441,-1.667605708,0.339648571,1.039091423,-2.125060491,1.698301507,1.445648148,-0.350191253,2.272141478,2.047404502,-1.822108943,0.187533422,0.298405031,-2.706086545,0.216593669,0.561628046,-0.558376894,0.268803268,0.120297518
CAGL0A02112g,0.00294,0.313467022,0.394883376,-1.899769047,0.237543408,1.10934092,-2.621876977,0.895947048,0.70969491,-1.705648865,0.271287055,0.344516692,-1.842678236,0.13590038,0.0901947,-1.774990352,0.335832599,0.493986279,-0.446640307,0.449831153,0.239682301
CAGL0A02134g,null,null,null,-0.120291185,0.222667477,0.346635309,0.230759441,null,null,0.0656,0.520754256,0.388417075,0.995733772,null,null,null,null,null,0.215278632,0.082935267,0.0956
CAGL0A02189g,-0.388755337,0.348788425,0.389182633,-1.653363857,0.305163999,1.14579475,-2.742959211,0.368748731,0.2782477,-1.33214926,0.383528808,0.30005139,-1.640454926,0.356433672,0.365896134,-1.435312784,0.32376152,0.411691641,-0.458457042,0.469960268,0.268753589
CAGL0A02211g,-0.889824865,0.717055344,0.139113888,1.809278356,0.621925914,0.598253143,-2.933109108,0.97588339,0.554816409,-1.364038468,0.988494074,0.977644481,1.592507332,0.0942,0.205288664,-0.572128391,0.079,0.592681577,-0.194569808,0.0741,0.120466632
CAGL0A02233g,-0.867731679,0.597023403,0.263863143,1.623001809,1.057439582,0.194392312,-2.69596487,0.627479166,0.400015076,-1.265747565,0.276553702,0.31132284,1.81643156,0.321044453,0.169360695,-0.998543131,0.02009622,0.651658609,-0.180465449,0.154568956,0.177579233
CAGL0A02255g,-0.530801361,0.793748107,0.653464281,-1.55091505,1.839822111,3.517112594,-1.755526183,3.189977847,3.950920235,-0.501129485,1.808121432,1.418005053,-2.082785047,0.659097788,0.509333497,0.0119,0.644374469,1.334424921,-0.487774845,0.526031594,0.280021446
CAGL0A02277g,-0.168531655,0.540608059,0.291825555,-2.386378117,1.399465569,2.53160333,-1.846577844,2.393025069,4.261004031,-1.95895985,0.324991116,0.38408494,-2.727471493,0.828797665,0.643719532,-0.259203015,0.810421344,1.522206719,-0.374111925,0.931597317,0.517176865
CAGL0A02299g,0.317868816,0.78109264,1.317659932,0.216671964,0.238720825,0.365099714,0.56619672,1.569654963,1.004052351,-0.222724471,0.165715704,0.0789,1.962937027,0.239180907,0.15267364,1.486817531,0.419865072,1.052957715,1.022694098,0.100197224,0.0265
CAGL0A02321g,-0.682261863,0.27638319,0.721825012,-2.766791958,1.159280957,0.279517263,0.089411835,0.466531484,0.347165998,-1.28644285,0.210634084,0.26257285,-1.938688929,0.166132433,0.184167322,-0.353126561,0.768357505,1.611268057,0.206867217,0.53772626,0.495092985
CAGL0A02365g,null,null,null,0.21376408,0.567637474,1.096627113,null,null,null,-0.506666199,0.17791109,0.30590834,-1.007220176,0.129587633,0.196753237,-0.988971575,0.079357056,0.587303057,-0.509299045,0.215956762,0.140935455
CAGL0A02387g,0.887149379,0.345869259,0.475378601,0.958965084,0.632497865,1.511826746,-0.148486272,0.228946915,0.18925907,-0.00503,0.00906,0.0266,0.6016294,0.210731073,0.169465309,0.240643214,0.266325551,0.657629298,0.0118,0.0752,0.00982
CAGL0A02409g,-0.765044937,0.369313317,0.879641192,0.121742528,0.774761482,0.634773557,-0.919561612,1.750871307,1.237259679,1.234597932,0.345381979,0.334499885,-0.646792739,null,null,0.0932,0.345637486,0.972070682,-0.298409587,0.0566,0.00261
CAGL0A02431g,null,null,null,-0.87048045,0.505818562,0.789890587,-0.292576423,0.689401483,0.580914242,1.658068867,0.198578638,0.101122554,null,null,null,null,null,null,-0.237782157,0.17553979,0.15758917
CAGL0A02475g,null,null,null,-0.245090853,0.498663808,0.778539075,null,null,null,0.0658,null,null,0.995733772,null,null,null,null,null,-0.157719641,0.285956919,0.231905301
CAGL0A02486g,-0.873588585,0.364171309,0.997212105,-0.185883449,0.306101991,0.469736539,-0.0456,0.474426127,0.303065369,-0.0555,0.00675,0.0373,null,null,null,0.261812201,0.205940128,0.794815431,-0.0715,0.120716441,0.0401
CAGL0A02508g,-0.413031008,0.145157858,0.713040022,-0.686226991,1.068699358,0.231081225,null,null,null,-0.864103396,1.545602735,2.0354838,0.278222897,0.386186355,0.338451924,0.617565561,0.741783929,1.119230945,0.435519241,0.351477546,0.194501783
CAGL0A02530g,4.513852592,0.187064059,0.50283432,-0.83061168,0.33780191,1.286866205,-0.508983916,0.0785,0.111762173,-0.497263792,0.391506555,0.489600303,-0.772216489,0.186972083,0.266653217,-0.638805247,0.467279218,1.102718469,-0.119071651,0.257058777,0.118081458
CAGL0A02552g,-0.321819941,0.567597524,0.299844893,0.702303302,0.165639041,0.252056926,-0.180034819,0.45282697,0.446603819,-0.337609155,0.0471,0.0644,0.0353,0.736055263,0.772249728,-0.611720904,0.106203886,0.731804562,-0.100639328,0.48379766,0.42860332
CAGL0A02596g,null,null,null,null,null,null,null,null,null,-0.208984103,0.29748482,0.168058636,null,null,null,null,null,null,-0.198249239,0.174908316,0.076259126
CAGL0A02629g,-0.165522362,0.120207041,0.519028389,0.816578667,0.287762358,0.737150304,0.180426494,0.128569357,0.041,-0.173064431,0.192637948,0.162822133,0.389102479,0.206711827,0.0182,-0.169021779,0.258675082,0.531477065,-0.150347339,0.0416,0.0126
CAGL0A02651g,0.193147133,0.619297789,0.193028029,0.361934248,0.76710469,0.342190003,-0.413543424,0.407420091,0.208568209,0.0282,0.189356908,0.33138023,-0.0148,0.205740364,0.221942143,-0.250380079,0.176633532,0.489825312,-0.148436014,0.116351252,0.197742419
CAGL0A02673g,-0.878185817,0.454137511,0.302003972,-1.917508766,0.0974768,0.146918115,-2.284136688,0.234739231,0.234506899,0.491124384,0.566799327,0.352784378,-2.631266822,0.180943582,0.0494,-1.922219157,0.438889218,1.081732375,-0.338276324,0.179858383,0.0796
CAGL0A02695g,-0.0098,null,null,0.414943737,1.053048332,0.397206503,0.610120798,null,null,1.049024001,0.484729058,0.363263504,1.190002592,null,null,0,null,null,null,null,null
CAGL0A02750g,1.301736621,0.856837369,0.0543,0.93905356,0.5432608,0.551151,1.870724432,0.37517781,0.20263735,1.474063654,0.104959756,0.316380728,0.57850793,0.16283793,0.266724859,1.189801278,0.221456423,0.621989042,-0.385080214,0.088216893,0.0185
CAGL0A02772g,null,null,null,0.67381006,null,null,null,null,null,-0.372713586,0.527096609,0.392857756,null,null,null,null,null,null,null,null,null
CAGL0A02794g,-0.237689294,0.549847829,0.930726206,1.295075175,0.259716523,0.397656068,0.166316459,2.442228501,2.342405942,-0.674826155,0.152279551,0.135481634,-1.195608517,0.485839142,0.45777364,-0.759128996,0.404416793,0.951055068,0.191105074,0.0443,0.120004457
CAGL0A02816g,-0.6983443,null,null,0.549218486,0.597730406,1.58138895,-0.448685237,null,null,3.555008546,0.588403101,0.364295558,-0.212798234,null,null,2.897734094,0.159188708,0.725342136,0.670767104,null,null
CAGL0A02860g,0.698994759,0.33048927,0.970648317,2.80798621,0.123281373,0.186695494,null,null,null,0.763627107,0.0137,0.0419,null,null,null,null,null,null,0.245000779,0.356813973,0.198093626
CAGL0A02882g,0.553155164,0.15176565,0.718734776,0.233425267,0.137239906,1.046313279,0.244906295,0.892378073,0.420294424,0.454843524,0.406738582,0.242463152,0.1757635,0.441392812,0.328477027,-0.396895365,0.363614531,0.908538111,0.206125738,0.138686256,0.0521
CAGL0A02904g,null,null,null,0.303882553,0.15444156,0.241151148,null,null,null,-1.880231658,0.0467,0.0642,null,null,null,-0.433130444,null,null,0.742521551,null,null
CAGL0A02926g,-0.0525,0.475665794,0.489894628,1.251622311,0.122381453,0.185307814,0.685784478,0.55476945,0.408675493,-0.888090539,1.641213517,1.633568963,0.23427285,0.436987535,0.350771895,0.791225395,0.3573774,0.377705304,0.452028532,0.503724342,0.505655065
