GENE	Stressed	Stressed CV	Skn7 Stressed	Skn7 Stressed CV	Yap1 Stressed	Yap1 Stressed CV	Skn7Yap1 Stressed	Skn7Yap1 Stressed CV
CAGL0A02233g	-0.867731679	0.263863143	-1.050911907	0.298648605	-0.892872411	0.133124507	-1.481522971	0.406598126
CAGL0A02255g	-0.530801361	0.653464281	-0.394655212	0.131946187	0.284725239	0.533236472	-0.875048963	0.229628753
CAGL0A02277g	-0.168531655	0.291825555	-0.527668004	0.255327899	0.16728939	0.472662674	-0.824511679	0.119840957
CAGL0A02299g	0.317868816	1.317659932	-0.306499992	0.49167751	-0.405361554	1.390657662	0.793882046	0.192411486
CAGL0A02321g	-0.682261863	0.721825012	-0.194477026	0.572657913	0.176059475	0.24036142	-0.935219206	0.335770219
CAGL0A02365g			-0.054646968	0.181032095	0.042071441	0.280956284	-0.474051088	0.19330399
CAGL0A02387g	0.887149379	0.475378601	0.073599305	0.20269904	-0.440061811	0.422838475	0.743915617	0.295665514
CAGL0A02409g	-0.765044937	0.879641192	0.361480629	0.572060354	-0.159148643	0.538630357	-0.269273658	0.269599622
CAGL0A02431g			0.243038544	0.972771841	0.215358984	0.045373083	0.038771759	0.388487747
CAGL0A02475g			-0.435916229		-0.057322667	0.06130939	0.211975283	0.430225488
CAGL0A02486g	-0.873588585	0.997212105	-0.224985798		0.21166051	0.062561028	-0.439080258	0.394193828
CAGL0A02508g	-0.413031008	0.713040022	-0.059759081	0.47355729	-0.281646779	0.07233811	0.020075008	0.345296997
CAGL0A02530g	4.513852592	0.50283432	3.47374207	0.401691926	3.403955008	0.255825149	0.143916606	0.110181126
CAGL0A02552g	-0.321819941	0.299844893	0.27906977	0.249221588	0.164761519	0.167506385	-0.210139898	0.166637476
CAGL0A02596g			0.10970311	0.398441581	0.081671791	0.11616596	-0.293092199	0.193341488
CAGL0A02629g	-0.165522362	0.519028389	-0.050746969	0.224649272	0.055376177	0.280690431	0.259021361	0.21609025
CAGL0A02651g	0.193147133	0.193028029	-0.621144685	0.288079911	-0.556563705	0.274092829	-0.276320563	0.136119784
CAGL0A02673g	-0.878185817	0.302003972	0.148701239	0.254503855	0.237028135	0.079927172	-0.955107112	0.120920197
CAGL0A02695g	-0.009796348		-0.404922771	0.148859319	0.215773998	0.054730341	0.390274782	0.320895417
